term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
aback,1.0500000000332113,0.050000000531626475,0.05,0.05,1.0500000000733936,0.05000003232257689,0.05,3.7106817177441753,0.05000000026898325,0.05000000040366403,0.2705756131848762,0.05,0.05000000039125017,2.1801974982715793,10.47421003487179,0.05000000014502193,0.05,0.05,0.7988089012575855,4.865526200468238
abilities,1.050000000021426,0.05,1.0500000000479965,0.05,0.05,0.05,0.05,1.5895307303535506,0.05,0.05,0.05,0.05,2.5104692695567996,0.05,0.050000000005936684,0.05,0.05,0.05,0.05,0.05
ability,2.1596185769897613,0.05000000005913632,0.050000000163266396,0.05,0.05,0.05000000007203501,0.05,5.3776631811534665,0.05000000021153284,0.050000000179416706,0.050000000176063535,0.05,5.980326537486832,0.05000000070387364,3.4726147833350214,0.050000000254228384,1.0500000000038614,0.05,0.05,5.259776919182283
abou,3.716908484816222,1.3369305541948036,0.05,0.05,0.05,0.05000000035328293,0.05,0.05005886061696047,0.05,0.05000000091614237,0.05000000024838502,0.05,0.05000000014730735,0.2320384601221544,9.14627948865968,1.2933761548941114,1.8776017335597566,0.05,0.050000000037199316,0.7468062614074972
absence,0.05000000005443929,1.1234012009260959,1.0649916317208359,0.05,0.05,0.05000000053324729,0.05,6.700838863239421,0.05000000004010879,0.05023592033148319,2.2402753998090246,0.05,5.540622412440297,0.050000000129274844,14.57524906417464,0.05000000573196353,0.050000000453290526,0.05000000022166521,0.05000000002671835,1.1043855001332048
access,0.05000000004868661,0.05,0.05000000228323535,0.05,0.05,0.05000010604489367,0.05,3.956320653656428,0.05,0.05,0.05,0.05,0.05000000080760625,0.05,2.8606676709771612,0.05,0.05,0.050000000255363795,0.05,3.3330115658988078
accident,2.1576098665994987,0.8303817691245253,1.0500000000815963,0.05,0.05,0.05000000338761293,0.05,12.94184228568871,0.050000000170799475,5.367347328138548,1.080728649298802,0.05,0.050000000436822116,0.05,5.025181072100657,0.05,0.972099428437789,0.05,0.05,7.024809596501256
accidents,1.4541479150579022,1.1856133362001249,0.05,0.05,0.05,0.05001378733376708,0.05,5.6722506220066915,1.0500000000727179,2.931753665276212,0.05000000055362542,0.05,0.05000000239487747,0.6192980846765609,1.6900471563196555,0.05000000034441192,0.05000000062108117,0.45599989073116265,0.050000000050272005,1.3908755383223366
accord,0.050000000121089114,0.05,0.05,0.05,0.05,0.05,0.05,2.3036546789340533,0.05,0.05,2.437733370154702,0.05,0.05000000085350275,0.05,3.218608546370374,0.05,0.05000045183763759,0.05000000012221397,1.050048817413487,1.2399541341586409
account,0.05000000017251606,0.05,1.0069732562611722,0.05,0.05,0.05,0.05,7.774729803317551,0.05,0.05000000006266498,0.9072955405422066,0.05,2.365052765269212,0.05000000019930613,9.764496646045423,0.05,0.050000000031934916,0.05,0.05,1.4814519880662815
accusations,0.12160592860796614,0.05,0.05000000110307937,0.05,0.05,0.05,0.05,4.884936345282883,0.05,0.05,0.05,0.05,0.05000000062758133,0.05,1.1434577240330013,0.05,1.0500000000177807,0.05000000023665976,0.05,0.05000000006465614
achievement,0.050000019729170064,0.05,0.05,0.05,0.05,0.05,0.05,3.7421232481622098,0.05,0.05,1.006247306704009,0.05,0.05000000024398231,0.05,2.401629424945225,0.05,0.05,0.05,0.05,0.05000000019003451
act,3.330489130576608,1.5409917626378278,1.1430733425296133,0.05,0.05,0.05,0.05,4.295800471458445,0.05,0.2043529028449088,0.05000000011404294,0.05,4.377505849952581,0.05,4.570969745942915,0.05000000009809024,1.1964763538970247,0.05000000160991484,0.05000000003674974,3.790340438265218
action,2.0754785193496135,2.817757417369198,2.7425867394873658,0.05,0.05,1.5475649880919318,0.05,3.039883717999786,0.05000000006351412,1.7926741874779937,0.24892553062087797,0.05,2.846950863118333,2.015683386134009,6.026549037959619,0.050000000241201714,1.0698815882577186,0.050000079162925155,0.05000000002533154,8.376063944603166
actions,0.5469697806326128,0.05000000072073323,0.05,0.05,0.05,0.05,0.05,0.8166728810959525,0.05,0.05000000071765974,1.9194111493922368,0.05,1.5596676471519935,1.0893053429111823,2.367973195540379,0.05000000160160639,0.05,0.05,0.05,0.050000000203641544
activity,0.05000000008352433,0.0500000006307218,0.766050266354668,0.05,0.05,0.05,0.05,0.050013383857948436,0.05,0.050000000661358505,0.05000000043424713,0.05,2.049994199162565,1.0786926789049125,6.305249468010259,0.05,0.0500000002453481,0.05000000165113723,1.0499999997052292,0.05000000027551163
ad,0.05000000003107365,0.05,0.05,0.05,0.05,0.05,0.05,0.05000000673265178,0.05,0.05,0.05000000051670165,0.05,0.05,0.05,1.0533544976440163,0.05,1.0499999994106834,0.05,0.05,6.046645495602129
addition,0.05,0.05001344669332579,0.05,0.05,0.05,0.05,0.05,3.8662554630462758,0.05,0.13381294140164363,3.7183866015851486,0.05,0.8765800952569683,0.05,2.4988088384275926,0.0500000007226271,0.05,0.05000000010122604,0.05,0.2061426127219923
address,1.7303884354851795,0.05,0.05,0.05,0.050000037784827554,0.05,0.05,6.6880044400819445,0.05,0.05,0.05,0.05,1.0499999999958651,0.05,1.1872396851568776,0.05,0.0500000002049677,0.05,0.05,0.5943674012479875
admiration,0.05000000010474742,2.0470138690098802,0.05,0.05,0.05,1.6276698256145554,0.05,3.300075901766969,0.050000000490421206,0.8978474932131927,0.05000000004426561,0.05,0.05000000042460014,0.05,1.2174391640975875,0.05,1.092102245485803,0.05,0.05,1.1678514997111111
admirers,0.050000000149907645,0.05,2.9770699361030615,0.05,0.05,0.05000000081550827,0.05,0.5300030091783329,0.05,0.050000000424724314,0.05,0.05,0.05000000031867146,0.05000000024847422,0.05,0.05,2.0416473050647586,0.05,0.05,2.6512797476774836
adult,0.05,0.6534557343475426,0.05,0.05,0.05,0.05000000080024722,0.05,6.327528421528036,0.05,0.05000000010219524,0.28635402611924027,0.05,1.1917307648865485,0.05000000016666192,0.3305929775731054,0.05,0.5598874980862628,0.05,0.05,1.0004505763494644
adults,0.05,0.05,1.0500000000249687,0.05,0.05,0.05,0.05,0.050000000226415084,1.0500000000303136,0.05,0.050000000422714894,0.05,2.7587460483162576,0.05,0.3412539508065635,0.05,2.049999999499131,0.05,0.05,0.05000000065295229
advantage,1.6347201799190332,1.0499999999718161,0.05,0.05,1.0500000000911773,0.05,0.05,2.854398046306076,0.05,0.05000000234544839,1.3133151730967298,0.05,3.8881791786323334,2.0180482609849992,7.8720907111618095,0.05000000015271734,2.5918193579277684,1.1883426608004848,0.05,0.08908642857230054
adventure,0.05000000004781134,0.05000000052709211,0.050000000311714664,0.05,0.05,0.050000001193844644,0.05,7.64466102918223,0.05,1.8108870341208645,0.5240178832850926,0.05,0.05000000032049394,0.05,5.2084154684788135,0.050000000160141764,0.05,0.0500000005269636,0.05,1.0620185818111143
advice,0.05000000029525443,1.7767319578364675,0.05,0.05,0.9749785584379037,0.8147785500576039,0.05,5.308440972663638,1.2446197099317573,0.05000000062004575,0.40520194016280503,0.05,0.050000002497818476,0.05000000007206593,16.872358284526296,0.0500000001834479,0.11923756885911141,0.050000000093122554,0.05,7.933652453724302
affair,0.05023210285987003,0.05000000009005146,0.05,0.05,0.05,0.05,0.05,1.074195468146192,0.05000000182611741,0.05000000266488205,0.05000000050852086,0.05,1.2776369594650794,0.05,4.6030852447018695,0.05000000036969467,0.05,1.244850218006583,0.05,0.05000000132826581
affection,0.05,0.050000000640784234,1.215749639245509,0.05,0.05,0.05000000062669908,0.05,3.527104566851984,0.05000000041782431,0.05,0.050000000500032726,0.05,0.8532603495572445,0.05,0.05000020009757292,0.05,0.7954976094601491,0.05000000025729558,1.0500000000589829,2.8583876322569326
afford,0.05,1.9180250691586755,0.05,0.05,0.05,0.05,0.05,1.9781309630009938,0.05,0.050000000651768545,3.6580154140422794,0.05,0.05000000008846189,0.05000000101189797,1.2486525406408935,0.05,0.05,0.05,0.05,1.4471760113695757
