term_str,n,p,i,n_chars,max_pos,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,dfidf,mean_tfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment,polarity
harry,18258,0.016327048906924733,5.9365921405832,5,NNP,5,"{'NNP', 'VBP', 'RP', 'VB', 'NN'}",0,harri,harri,harry,0.0,0.0,1,0,0,0,0,1,0,1,0,0,-1,-1
professor,2029,0.001814414625487473,9.106280110062293,9,NNP,4,"{'VB', 'NNP', 'VBP', 'NN'}",0,professor,professor,profess,20.230644141281807,0.005596980120085727,0,0,0,0,0,0,1,0,0,1,1,1
don,1963,0.0017553947313119318,9.153988802352782,3,VBP,8,"{'VBD', 'JJ', 'NNP', 'NNS', 'VBP', 'VB', 'NN', 'VBZ'}",1,don,don,don,0.43320145733875015,8.690450205244634e-05,0,0,0,0,0,0,1,0,0,1,1,1
good,1002,0.0008960293024832173,10.124166466623745,4,JJ,5,"{'VBD', 'JJ', 'NNP', 'VB', 'NN'}",0,good,good,good,4.642702703453042,0.000480936479788635,0,1,0,0,1,0,1,0,1,1,1,1
black,931,0.0008325382042034684,10.230195902260158,5,JJ,4,"{'JJ', 'NNP', 'NN', 'VB'}",0,black,black,black,10.519606377597645,0.0012318482394603006,0,0,0,0,0,1,0,1,0,0,-1,-1
death,760,0.000679623023839566,10.522977651488004,5,NNP,4,"{'JJ', 'NNP', 'VBP', 'NN'}",0,death,death,dea,25.24288292520628,0.002865755613187177,1,1,1,1,0,1,0,1,1,0,-1,-1
found,612,0.000547275382355019,10.8354454171263,5,VBD,7,"{'VBD', 'JJ', 'NNP', 'VBP', 'VB', 'VBN', 'NN'}",0,found,found,found,10.144866094116612,0.0006964229183646681,0,0,0,0,1,0,1,0,0,1,1,1
ministry,605,0.0005410156966091282,10.852041927656996,8,NNP,1,{'NNP'},0,ministri,ministri,min,22.48272685337052,0.0019668668625147,0,0,0,0,1,0,1,0,0,1,1,1
boy,553,0.0004945151739253684,10.981697589584245,3,NN,9,"{'VBD', 'JJ', 'NNP', 'NNS', 'IN', 'VB', 'NN', 'UH', 'VBZ'}",0,boy,boy,boy,16.163687568074245,0.0011755197873628779,0,0,1,0,0,1,0,0,0,0,-1,-1
wizard,508,0.0004542743369874994,11.104148573046787,6,NN,5,"{'JJ', 'NNP', 'VB', 'NN', 'RB'}",0,wizard,wizard,wizard,20.812191947784317,0.0015227438388031546,0,1,0,0,0,0,1,0,1,0,1,1
