term_str,n,p,i,n_chars,max_pos,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,dfidf,mean_tfidf
the,51842,0.04635923263406682,4.430999503589718,3,DT,2,"{'NNP', 'DT'}",1,the,the,the,0.0,0.0
and,27639,0.024715922047239165,5.338415461400765,3,CC,2,"{'NNP', 'CC'}",1,and,and,and,0.0,0.0
to,26855,0.0240148372436994,5.379930158776056,2,TO,2,"{'NNP', 'TO'}",1,to,to,to,0.0,0.0
he,22174,0.01982889596134018,5.656251836738503,2,PRP,2,"{'PRP', 'NNP'}",1,he,he,he,0.0,0.0
of,21813,0.019506075025016386,5.679932678952807,2,IN,2,"{'NNP', 'IN'}",1,of,of,of,0.0,0.0
a,21087,0.018856856189085433,5.728767019513504,1,DT,3,"{'NN', 'NNP', 'DT'}",1,a,a,a,0.0,0.0
harry,18258,0.016327048906924733,5.9365921405832,5,NNP,5,"{'NN', 'VB', 'NNP', 'RP', 'VBP'}",0,harri,harri,harry,0.0,0.0
was,15647,0.013992186123707487,6.159234804581777,3,VBD,4,"{'VB', 'IN', 'NNP', 'VBD'}",1,wa,was,was,0.0,0.0
s,14796,0.01323118718517134,6.239913674694957,1,VBD,19,"{'RB', 'NN', 'PRP', 'CC', 'VBZ', 'NNP', 'RBR', 'VBP', 'VBD', 'PDT', 'VB', 'JJ', 'RBS', 'NNS', 'FW', 'POS', 'MD', 'VBN', 'JJR'}",1,s,s,s,0.0,0.0
it,14562,0.013021934833094422,6.262912365946662,2,PRP,3,"{'VB', 'PRP', 'NNP'}",1,it,it,it,0.0,0.0
said,14491,0.012958443734814673,6.269963723934996,4,VBD,2,"{'NNP', 'VBD'}",0,said,said,said,0.43320145733875015,0.00062540630840825
you,14407,0.012883327505863984,6.278350928914687,3,PRP,11,"{'PRP$', 'RB', 'NN', 'VB', 'PRP', 'JJ', 'CD', 'VBZ', 'VBN', 'NNP', 'NNS'}",1,you,you,you,0.0,0.0
his,14290,0.012778701329825524,6.290114963835774,3,PRP$,2,"{'PRP$', 'NNP'}",1,hi,his,his,0.0,0.0
i,13468,0.012043635375093783,6.375585253991306,1,PRP,3,"{'JJ', 'PRP', 'NN'}",1,i,i,i,0.0,0.0
in,12657,0.0113184060693913,6.465185386878445,2,IN,2,"{'NNP', 'IN'}",1,in,in,in,0.0,0.0
that,10912,0.009757955837022821,6.67920533079478,4,IN,5,"{'RB', 'WDT', 'NNP', 'IN', 'DT'}",1,that,that,that,0.0,0.0
had,10165,0.009089957943854195,6.7815106650868575,3,VBD,3,"{'NNP', 'VBN', 'VBD'}",1,had,had,had,0.0,0.0
at,8706,0.007785260586246397,7.0050389550310515,2,IN,2,"{'NNP', 'IN'}",1,at,at,at,0.0,0.0
t,7704,0.00688923128376318,7.181441271975493,1,NN,15,"{'RB', 'NN', 'WDT', 'TO', 'VB', 'JJ', 'PRP', 'VBZ', 'NNS', 'IN', 'NNP', 'CC', 'RP', 'VBP', 'VBD'}",1,t,t,t,0.0,0.0
as,7618,0.006812326573170808,7.197636687255613,2,IN,3,"{'RB', 'NNP', 'IN'}",1,as,as,as,0.0,0.0
him,7015,0.006273099358203363,7.316605871311691,3,PRP,3,"{'PRP', 'NN', 'NNP'}",1,him,him,him,0.0,0.0
on,7007,0.00626594543163663,7.3182520789253545,2,IN,2,"{'NNP', 'IN'}",1,on,on,on,0.0,0.0
they,6819,0.006097828157318422,7.357488790279948,4,PRP,2,"{'PRP', 'NNP'}",1,they,they,they,0.0,0.0
with,6506,0.005817930780395022,7.42527815277782,4,IN,2,"{'NNP', 'IN'}",1,with,with,with,0.0,0.0
ron,6319,0.005650707746897655,7.467352709347873,3,NNP,5,"{'RB', 'NN', 'VB', 'NNP', 'NNPS'}",0,ron,ron,ron,7.844502835152109,0.0053459210493164945
but,6215,0.005557706701530135,7.491294583879105,3,CC,3,"{'NNP', 'NN', 'CC'}",1,but,but,but,0.0,0.0
for,5650,0.0050524606377546685,7.62879810762904,3,IN,2,"{'NNP', 'IN'}",1,for,for,for,0.0,0.0
not,5485,0.004904910902315815,7.671557354528397,3,RB,3,"{'VB', 'RB', 'NNP'}",1,not,not,not,0.0,0.0
her,5457,0.004879872159332253,7.67894093144631,3,PRP$,6,"{'PRP$', 'RB', 'NN', 'VB', 'PRP', 'NNP'}",1,her,her,her,1.7196006842017786,0.0009073433434265154
hermione,5348,0.004782399909860525,7.708049509725599,8,NNP,7,"{'RB', 'NN', 'VB', 'PRP', 'CD', 'NNP', 'RP'}",0,hermion,hermion,herm,9.767629851597142,0.005663759473349078
she,5267,0.004709966403372361,7.730067515664995,3,PRP,2,"{'PRP', 'NNP'}",1,she,she,she,1.2930129904332033,0.0006571661339501624
what,4852,0.004338856462723124,7.848469424698442,4,WP,3,"{'WP', 'WDT', 'NNP'}",1,what,what,what,0.0,0.0
be,4465,0.00399278526505745,7.968388799810367,2,VB,3,"{'VB', 'NNS', 'NNP'}",1,be,be,be,0.0,0.0
out,4386,0.003922140240210969,7.994143163145359,3,RP,6,"{'RB', 'NN', 'VB', 'NNP', 'IN', 'RP'}",1,out,out,out,0.0,0.0
up,4357,0.003896207256406565,8.003713861903785,2,RP,8,"{'RB', 'NN', 'VB', 'JJ', 'NNP', 'IN', 'RP', 'VBP'}",1,up,up,up,0.0,0.0
all,4355,0.0038944187747648818,8.004376256332725,3,DT,8,"{'RB', 'NN', 'VB', 'NNP', 'DT', 'RP', 'VBP', 'PDT'}",1,all,all,al,0.0,0.0
were,4265,0.0038139371008891437,8.0345032336133,4,VBD,4,"{'VBP', 'NNP', 'WRB', 'VBD'}",1,were,were,wer,0.0,0.0
them,4188,0.0037450805576843453,8.060787532888144,4,PRP,2,"{'PRP', 'NNP'}",1,them,them,them,0.0,0.0
have,4186,0.0037432920760426622,8.061476663563242,4,VBP,3,"{'VB', 'VBP', 'NNP'}",1,have,have,hav,0.0,0.0
from,4132,0.0036950030717172195,8.080208720953893,4,IN,2,"{'NNP', 'IN'}",1,from,from,from,0.0,0.0
we,4118,0.0036824837002254382,8.085105145186699,2,PRP,2,"{'PRP', 'NNP'}",1,we,we,we,0.43320145733875015,0.00017816806391694555
there,3835,0.003429413547927284,8.187822397428656,5,EX,4,"{'VB', 'RB', 'EX', 'NNP'}",1,there,there,ther,0.0,0.0
into,3443,0.0030788711461574025,8.343382794249036,4,IN,3,"{'VBZ', 'NNP', 'IN'}",1,into,into,into,0.0,0.0
dumbledore,3359,0.0030037549172067138,8.379017179584453,10,NNP,12,"{'RB', 'NN', 'VB', 'VBN', 'NNP', 'IN', 'JJR', 'NNPS', 'RBR', 'RP', 'VBP', 'VBD'}",0,dumbledor,dumbledor,dumbl,9.387911912817998,0.0035160234323252638
been,3266,0.002920590520868451,8.419524184257257,4,VBN,2,"{'VBN', 'NNP'}",1,been,been,been,0.0,0.0
this,3244,0.002900917222809937,8.42927515560168,4,DT,2,"{'NNP', 'DT'}",1,thi,this,thi,0.43320145733875015,0.00014090057061071824
